2009,"https://web.archive.org/web/20121001062839im_/http://cllct.com/files/imagecache/100x100resize/files/releasecover/2434/June 23, 2010 - 4:02pm/FdM art small.jpg",Fleurs du Mal E.P.,/andrewbloom
2010,"https://web.archive.org/web/20121001062839im_/http://cllct.com/files/imagecache/100x100resize/files/releasecover/2434/July%2024,%202010%20-%204:27pm/xcover,P202,P20cllct.jpg.pagespeed.ic.d7o4iuOtou.jpg",Harm Reduction,/andrewbloom
2010,"https://web.archive.org/web/20121001063004im_/http://cllct.com/files/imagecache/100x100resize/files/releasecover/2627/July 20, 2010 - 9:36am/nate.jpg",demo,/aljenkins
2010,"https://web.archive.org/web/20121001063025im_/http://cllct.com/files/imagecache/100x100resize/files/releasecover/1006/April 6, 2010 - 3:46pm/ae.jpg",ASBF034 Live Dismally EP,/ambassadorengine
2012,"https://web.archive.org/web/20121001063406im_/http://cllct.com/files/imagecache/100x100resize/files/releasecover/1456/February%2013,%202012%20-%206:24pm/xCLLCT,P20Cover_300.jpg.pagespeed.ic.KQ_ihGVJvp.jpg","A Pile of Lo-fi! Series 2, Vol. 4",/apileoflofi
2011,"https://web.archive.org/web/20121001063406im_/http://cllct.com/files/imagecache/100x100resize/files/releasecover/1456/October%2017,%202011%20-%206:06pm/xFront_575.jpg.pagespeed.ic.FyOoq1LQ-X.jpg","A Pile of Lo-fi! Series 2, Vol. 2",/apileoflofi
2011,"https://web.archive.org/web/20121001063406im_/http://cllct.com/files/imagecache/100x100resize/files/releasecover/1456/January%2028,%202011%20-%209:49am/xapolf,219_300.jpg.pagespeed.ic.E1tXvGwbuz.jpg",apolf! #9,/apileoflofi
2011,"https://web.archive.org/web/20121001063406im_/http://cllct.com/files/imagecache/100x100resize/files/releasecover/1456/March%2015,%202011%20-%2012:01pm/xapolf10_300.jpg.pagespeed.ic.YC7OZQ9CFW.jpg",apolf! #10,/apileoflofi
2011,"https://web.archive.org/web/20121001063406im_/http://cllct.com/files/imagecache/100x100resize/files/releasecover/1456/December%2026,%202011%20-%209:00pm/xAPOLF,P20S2V3__Viscera_Courtesy,P20Sue,P20Clark_perpetualplum_Flickr_300.jpg.pagespeed.ic.f6uhLdx938.jpg","A Pile of Lo-fi! Series 2, Vol. 3",/apileoflofi
2011,"https://web.archive.org/web/20121001063406im_/http://cllct.com/files/imagecache/100x100resize/files/releasecover/1456/August%2026,%202011%20-%2012:24pm/xAPOLFS2V1300.jpg.pagespeed.ic.xdUep2jEqr.jpg","A Pile of Lo-fi! Series 2, Vol. 1",/apileoflofi
2010,"https://web.archive.org/web/20121001063406im_/http://cllct.com/files/imagecache/100x100resize/files/releasecover/1456/April%2027,%202010%20-%2011:30am/xFront.png.pagespeed.ic.6nftbRrUPc.png",A Pile of Lo-fi! Vol. I,/apileoflofi
2010,"https://web.archive.org/web/20121001063406im_/http://cllct.com/files/imagecache/100x100resize/files/releasecover/1456/October%2016,%202010%20-%201:04pm/xFront_528.png.pagespeed.ic.BfaJ58HOfR.png",apolf! #6,/apileoflofi
2010,"https://web.archive.org/web/20121001063406im_/http://cllct.com/files/imagecache/100x100resize/files/releasecover/1456/June%2015,%202010%20-%201:59pm/xFront.png.pagespeed.ic.Oyq-plCD20.png",A Pile of Lo-fi! Vol. III,/apileoflofi
